"applicants","year","row_num","col_num","branch_type","grouping_title","reader_name","grouping_nametag","pct_change_vs_prior_record","academic_rating","non_academic_rating","onetest","rejected","confirm_admit","admit","admit_and_cancel","race_african_american","race_asian","race_hispanic","race_white","race_foreign","race_native_unknown","male","female","catholic","legacy","sibling","athlete","first_generation","public_school","catholic_school","private_school","na_school","science","arts","business","engineering","architecture","status_rotation","rejected_pct","confirm_admit_pct","admit_pct","admit_and_cancel_pct","race_rotation","african_american_pct","asian_pct","hispanic_pct","white_pct","foreign_pct","native_unknown_pct","cohort_rotation","male_pct","female_pct","catholic_pct","legacy_pct","sibling_pct","athlete_pct","first_generation_pct","hs_rotation","public_school_pct","catholic_school_pct","private_school_pct","na_school_pct","college_rotation","science_pct","arts_pct","business_pct","engineering_pct","architecture_pct"
"797",2013,"1","2","Status","Admit","TOTAL","2013 Admit - 797 applicants","-0.166317992","5.4868","8.0552","1466.9762","0","0","797","0","84","135","117","388","52","21","391","406","494","50","23","10","89","417","221","103","56","221","245","126","189","16","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.1054","0.1694","0.1468","0.4868","0.0652","0.0263","2.0000","0.4906","0.5094","0.6198","0.0627","0.0289","0.0125","0.1117","3.0000","0.5232","0.2773","0.1292","0.0703","4.0000","0.2773","0.3074","0.1581","0.2371","0.0201"
"253",2014,"1","2","Status","Admit","TOTAL","2014 Admit - 253 applicants","-0.682559598","5.1779","7.7747","1470.2372","0","0","253","0","28","34","41","122","23","5","143","110","148","14","8","4","36","123","70","36","24","62","76","47","65","3","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.1107","0.1344","0.1621","0.4822","0.0909","0.0198","2.0000","0.5652","0.4348","0.5850","0.0553","0.0316","0.0158","0.1423","3.0000","0.4862","0.2767","0.1423","0.0949","4.0000","0.2451","0.3004","0.1858","0.2569","0.0119"
"91",2015,"1","2","Status","Admit","TOTAL","2015 Admit - 91 applicants","-0.640316206","4.9341","7.5659","1481.978","0","0","91","0","10","11","18","36","10","6","53","38","58","4","4","0","11","41","29","12","9","26","25","13","24","3","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.1099","0.1209","0.1978","0.3956","0.1099","0.0659","2.0000","0.5824","0.4176","0.6374","0.0440","0.0440","0.0000","0.1209","3.0000","0.4505","0.3187","0.1319","0.0989","4.0000","0.2857","0.2747","0.1429","0.2637","0.0330"
"3102",2016,"1","2","Status","Admit","TOTAL","2016 Admit - 3102 applicants","33.08791209","4.804803353","7.360090264","1475.960671","0","0","3102","0","267","336","412","1787","195","105","1588","1514","2261","438","284","72","298","1434","1032","397","239","895","726","679","727","75","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.0861","0.1083","0.1328","0.5761","0.0629","0.0338","2.0000","0.5119","0.4881","0.7289","0.1412","0.0916","0.0232","0.0961","3.0000","0.4623","0.3327","0.1280","0.0770","4.0000","0.2885","0.2340","0.2189","0.2344","0.0242"
"1127",2010,"1","3","Status","Admit and Cancel","TOTAL","2010 Admit and Cancel - 1127 applicants","0","5.0235","9.5044","1463.7356","0","0","0","1127","70","129","166","677","55","30","576","551","798","118","69","15","64","539","364","171","53","357","392","105","249","24","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0621","0.1145","0.1473","0.6007","0.0488","0.0266","2.0000","0.5111","0.4889","0.7081","0.1047","0.0612","0.0133","0.0568","3.0000","0.4783","0.3230","0.1517","0.0470","4.0000","0.3168","0.3478","0.0932","0.2209","0.0213"
"1002",2011,"1","3","Status","Admit and Cancel","TOTAL","2011 Admit and Cancel - 1002 applicants","-0.110913931","5.2206","9.7066","1467.0359","0","0","0","1002","63","124","156","571","60","28","491","511","717","110","53","12","76","476","318","142","66","306","341","131","201","23","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0629","0.1238","0.1557","0.5699","0.0599","0.0279","2.0000","0.4900","0.5100","0.7156","0.1098","0.0529","0.0120","0.0758","3.0000","0.4750","0.3174","0.1417","0.0659","4.0000","0.3054","0.3403","0.1307","0.2006","0.0230"
"958",2012,"1","3","Status","Admit and Cancel","TOTAL","2012 Admit and Cancel - 958 applicants","-0.043912176","5.0329","8.7495","1476.5344","0","0","0","958","50","118","112","567","85","26","489","469","653","101","69","9","64","410","305","165","78","282","346","128","179","23","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0522","0.1232","0.1169","0.5919","0.0887","0.0271","2.0000","0.5104","0.4896","0.6816","0.1054","0.0720","0.0094","0.0668","3.0000","0.4280","0.3184","0.1722","0.0814","4.0000","0.2944","0.3612","0.1336","0.1868","0.0240"
"1049",2013,"1","3","Status","Admit and Cancel","TOTAL","2013 Admit and Cancel - 1049 applicants","0.094989562","4.98","7.8098","1483.775","0","0","0","1049","53","125","153","594","91","33","519","530","730","115","55","15","72","456","322","203","68","273","365","163","218","30","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0505","0.1192","0.1459","0.5663","0.0867","0.0315","2.0000","0.4948","0.5052","0.6959","0.1096","0.0524","0.0143","0.0686","3.0000","0.4347","0.3070","0.1935","0.0648","4.0000","0.2602","0.3480","0.1554","0.2078","0.0286"
"1507",2014,"1","3","Status","Admit and Cancel","TOTAL","2014 Admit and Cancel - 1507 applicants","0.436606292","4.5883","7.7429","1485.7996","0","0","0","1507","95","198","221","827","116","50","722","785","1023","133","72","11","126","715","444","240","108","439","454","233","349","32","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0630","0.1314","0.1466","0.5488","0.0770","0.0332","2.0000","0.4791","0.5209","0.6788","0.0883","0.0478","0.0073","0.0836","3.0000","0.4745","0.2946","0.1593","0.0717","4.0000","0.2913","0.3013","0.1546","0.2316","0.0212"
"1478",2015,"1","3","Status","Admit and Cancel","TOTAL","2015 Admit and Cancel - 1478 applicants","-0.01924353","4.7818","7.361","1480.3789","0","0","0","1478","155","219","221","765","80","38","736","742","987","119","72","7","141","708","443","222","105","428","392","294","332","32","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.1049","0.1482","0.1495","0.5176","0.0541","0.0257","2.0000","0.4980","0.5020","0.6678","0.0805","0.0487","0.0047","0.0954","3.0000","0.4790","0.2997","0.1502","0.0710","4.0000","0.2896","0.2652","0.1989","0.2246","0.0217"
"29",2016,"1","3","Status","Admit and Cancel","TOTAL","2016 Admit and Cancel - 29 applicants","-0.98037889","3.896551724","6.775862069","1505.517241","0","0","0","29","1","1","6","19","1","1","17","12","21","3","0","2","4","16","10","3","0","6","6","10","7","0","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0345","0.0345","0.2069","0.6552","0.0345","0.0345","2.0000","0.5862","0.4138","0.7241","0.1034","0.0000","0.0690","0.1379","3.0000","0.5517","0.3448","0.1034","0.0000","4.0000","0.2069","0.2069","0.3448","0.2414","0.0000"
"2068",2010,"1","4","Status","Confirm Admit","TOTAL","2010 Confirm Admit - 2068 applicants","0","6.6383","9.5735","1420.5174","0","2068","0","0","91","150","206","1480","76","65","1102","966","1701","499","337","161","137","900","898","180","90","582","728","328","382","48","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0440","0.0725","0.0996","0.7157","0.0368","0.0314","2.0000","0.5329","0.4671","0.8225","0.2413","0.1630","0.0779","0.0662","3.0000","0.4352","0.4342","0.0870","0.0435","4.0000","0.2814","0.3520","0.1586","0.1847","0.0232"
"2021",2011,"1","4","Status","Confirm Admit","TOTAL","2011 Confirm Admit - 2021 applicants","-0.022727273","6.6136","9.688","1429.3716","0","2021","0","0","96","169","180","1478","71","27","1081","940","1658","477","348","161","142","952","788","198","83","524","687","372","390","48","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0475","0.0836","0.0891","0.7313","0.0351","0.0134","2.0000","0.5349","0.4651","0.8204","0.2360","0.1722","0.0797","0.0703","3.0000","0.4711","0.3899","0.0980","0.0411","4.0000","0.2593","0.3399","0.1841","0.1930","0.0238"
"2015",2012,"1","4","Status","Confirm Admit","TOTAL","2012 Confirm Admit - 2015 applicants","-0.002968827","7.0543","8.8543","1423.1166","0","2015","0","0","112","180","221","1371","92","39","1028","987","1681","485","336","153","184","885","811","218","101","535","652","390","392","46","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0556","0.0893","0.1097","0.6804","0.0457","0.0194","2.0000","0.5102","0.4898","0.8342","0.2407","0.1667","0.0759","0.0913","3.0000","0.4392","0.4025","0.1082","0.0501","4.0000","0.2655","0.3236","0.1935","0.1945","0.0228"
"2071",2013,"1","4","Status","Confirm Admit","TOTAL","2013 Confirm Admit - 2071 applicants","0.027791563","6.7033","7.8759","1434.0174","0","2071","0","0","135","156","204","1439","94","43","1078","993","1699","492","327","143","182","899","825","211","136","542","626","431","429","43","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0652","0.0753","0.0985","0.6948","0.0454","0.0208","2.0000","0.5205","0.4795","0.8204","0.2376","0.1579","0.0690","0.0879","3.0000","0.4341","0.3984","0.1019","0.0657","4.0000","0.2617","0.3023","0.2081","0.2071","0.0208"
"2011",2014,"1","4","Status","Confirm Admit","TOTAL","2014 Confirm Admit - 2011 applicants","-0.028971511","6.3558","7.6681","1439.8856","0","2011","0","0","115","141","208","1396","117","34","1051","960","1623","452","308","166","180","813","844","242","112","539","523","440","470","39","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0572","0.0701","0.1034","0.6942","0.0582","0.0169","2.0000","0.5226","0.4774","0.8071","0.2248","0.1532","0.0825","0.0895","3.0000","0.4043","0.4197","0.1203","0.0557","4.0000","0.2680","0.2601","0.2188","0.2337","0.0194"
"2008",2015,"1","4","Status","Confirm Admit","TOTAL","2015 Confirm Admit - 2008 applicants","-0.001491795","6.0717","7.3762","1447.6793","0","2008","0","0","128","155","201","1354","143","27","1069","939","1624","451","344","160","171","846","780","226","156","507","503","485","462","51","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0637","0.0772","0.1001","0.6743","0.0712","0.0134","2.0000","0.5324","0.4676","0.8088","0.2246","0.1713","0.0797","0.0852","3.0000","0.4213","0.3884","0.1125","0.0777","4.0000","0.2525","0.2505","0.2415","0.2301","0.0254"
"420",2016,"1","4","Status","Confirm Admit","TOTAL","2016 Confirm Admit - 420 applicants","-0.790836653","7.180952381","6.751190476","1411.261905","0","420","0","0","34","14","27","316","16","13","234","186","320","142","102","94","43","178","169","49","24","99","93","145","77","6","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0810","0.0333","0.0643","0.7524","0.0381","0.0310","2.0000","0.5571","0.4429","0.7619","0.3381","0.2429","0.2238","0.1024","3.0000","0.4238","0.4024","0.1167","0.0571","4.0000","0.2357","0.2214","0.3452","0.1833","0.0143"
"13945",2010,"1","5","Total","Total","TOTAL","2010 Total - 13945 applicants","0","9.7371","9.9962","1332.0265","9775","2068","975","1127","570","1273","1518","9199","988","397","7144","6801","9810","1284","948","194","1436","6892","4575","1521","957","3726","5214","2420","2203","382","0.0000","0.7010","0.1483","0.0699","0.0808","1.0000","0.0409","0.0913","0.1089","0.6597","0.0708","0.0285","2.0000","0.5123","0.4877","0.7035","0.0921","0.0680","0.0139","0.1030","3.0000","0.4942","0.3281","0.1091","0.0686","4.0000","0.2672","0.3739","0.1735","0.1580","0.0274"
"15726",2011,"1","5","Total","Total","TOTAL","2011 Total - 15726 applicants","0.127716027","10.3076","10.1221","1329.9383","11714","2021","989","1002","695","1451","1850","10036","1268","426","7880","7846","10751","1318","1002","201","1785","7930","4831","1734","1231","4207","5708","3029","2410","372","0.0000","0.7449","0.1285","0.0629","0.0637","1.0000","0.0442","0.0923","0.1176","0.6382","0.0806","0.0271","2.0000","0.5011","0.4989","0.6836","0.0838","0.0637","0.0128","0.1135","3.0000","0.5043","0.3072","0.1103","0.0783","4.0000","0.2675","0.3630","0.1926","0.1532","0.0237"
"16168",2012,"1","5","Total","Total","TOTAL","2012 Total - 16168 applicants","0.028106321","10.3727","9.4609","1329.2411","12239","2015","956","958","711","1737","1955","9806","1412","547","7987","8181","10369","1330","982","195","2193","8056","4843","1743","1526","4422","5593","3250","2579","324","0.0000","0.7570","0.1246","0.0591","0.0593","1.0000","0.0440","0.1074","0.1209","0.6065","0.0873","0.0338","2.0000","0.4940","0.5060","0.6413","0.0823","0.0607","0.0121","0.1356","3.0000","0.4983","0.2995","0.1078","0.0944","4.0000","0.2735","0.3459","0.2010","0.1595","0.0200"
"17042",2013,"1","5","Total","Total","TOTAL","2013 Total - 17042 applicants","0.054057397","10.4747","8.8835","1331.3332","13125","2071","797","1049","761","1775","2138","10375","1535","458","8450","8592","11060","1415","942","207","2156","8654","4846","1829","1713","3999","6057","3492","3229","265","0.0000","0.7702","0.1215","0.0468","0.0616","1.0000","0.0447","0.1042","0.1255","0.6088","0.0901","0.0269","2.0000","0.4958","0.5042","0.6490","0.0830","0.0553","0.0121","0.1265","3.0000","0.5078","0.2844","0.1073","0.1005","4.0000","0.2347","0.3554","0.2049","0.1895","0.0155"
"17309",2014,"1","5","Total","Total","TOTAL","2014 Total - 17309 applicants","0.015667175","10.1032","8.6929","1336.3949","13538","2011","253","1507","806","1826","2255","10242","1705","475","8542","8767","11319","1367","971","229","2917","8733","4885","1842","1849","4798","4951","3924","3287","349","0.0000","0.7821","0.1162","0.0146","0.0871","1.0000","0.0466","0.1055","0.1303","0.5917","0.0985","0.0274","2.0000","0.4935","0.5065","0.6539","0.0790","0.0561","0.0132","0.1685","3.0000","0.5045","0.2822","0.1064","0.1068","4.0000","0.2772","0.2860","0.2267","0.1899","0.0202"
"17341",2015,"1","5","Total","Total","TOTAL","2015 Total - 17341 applicants","0.001848749","10.2699","8.3848","1330.3743","13764","2008","91","1478","933","1798","2377","10148","1576","509","8588","8753","11647","1445","995","187","3055","8723","4885","1698","2035","4826","4757","4122","3333","303","0.0000","0.7937","0.1158","0.0052","0.0852","1.0000","0.0538","0.1037","0.1371","0.5852","0.0909","0.0294","2.0000","0.4952","0.5048","0.6716","0.0833","0.0574","0.0108","0.1762","3.0000","0.5030","0.2817","0.0979","0.1174","4.0000","0.2783","0.2743","0.2377","0.1922","0.0175"
"16866",2016,"1","5","Total","Total","TOTAL","2016 Total - 16866 applicants","-0.027391731","10.35571564","8.478447765","1321.828531","13315","420","3102","29","1119","1594","2410","9672","1476","595","8336","8530","11169","1311","884","180","3138","8691","4641","1582","1952","4891","4521","3910","3266","278","0.0000","0.7895","0.0249","0.1839","0.0017","1.0000","0.0663","0.0945","0.1429","0.5735","0.0875","0.0353","2.0000","0.4942","0.5058","0.6622","0.0777","0.0524","0.0107","0.1861","3.0000","0.5153","0.2752","0.0938","0.1157","4.0000","0.2900","0.2681","0.2318","0.1936","0.0165"
"856",2010,"1.3","1","Status","Reject","Alyssa O'Rourke","(Alyssa O'Rourke) 2010 Reject - 856 applicants","0","12.68866822","9.990070093","1242.955607","856","0","0","0","41","159","223","373","33","27","391","465","536","23","27","1","189","467","266","79","44","182","403","154","88","29","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0479","0.1857","0.2605","0.4357","0.0386","0.0315","2.0000","0.4568","0.5432","0.6262","0.0269","0.0315","0.0012","0.2208","3.0000","0.5456","0.3107","0.0923","0.0514","4.0000","0.2126","0.4708","0.1799","0.1028","0.0339"
"1181",2013,"1.3","1","Status","Reject","Alyssa O'Rourke","(Alyssa O'Rourke) 2013 Reject - 1181 applicants","0.379672897","13.02074513","9.181625741","1241.718882","1181","0","0","0","38","218","418","437","43","27","523","658","702","30","40","4","371","672","304","98","107","249","479","226","212","15","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0322","0.1846","0.3539","0.3700","0.0364","0.0229","2.0000","0.4428","0.5572","0.5944","0.0254","0.0339","0.0034","0.3141","3.0000","0.5690","0.2574","0.0830","0.0906","4.0000","0.2108","0.4056","0.1914","0.1795","0.0127"
"1226",2014,"1.3","1","Status","Reject","Alyssa O'Rourke","(Alyssa O'Rourke) 2014 Reject - 1226 applicants","0.038103302","12.50815661","9.406606852","1250.277325","1226","0","0","0","43","246","380","445","54","58","552","674","742","32","30","3","403","705","299","105","117","310","411","283","191","31","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0351","0.2007","0.3100","0.3630","0.0440","0.0473","2.0000","0.4502","0.5498","0.6052","0.0261","0.0245","0.0024","0.3287","3.0000","0.5750","0.2439","0.0856","0.0954","4.0000","0.2529","0.3352","0.2308","0.1558","0.0253"
"1246",2016,"1.3","1","Status","Reject","Alyssa O'Rourke","(Alyssa O'Rourke) 2016 Reject - 1246 applicants","0.016313214","12.84911717","9.172552167","1242.447833","1246","0","0","0","49","214","461","405","57","60","566","680","787","33","37","2","420","695","340","86","125","350","432","265","184","15","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0393","0.1717","0.3700","0.3250","0.0457","0.0482","2.0000","0.4543","0.5457","0.6316","0.0265","0.0297","0.0016","0.3371","3.0000","0.5578","0.2729","0.0690","0.1003","4.0000","0.2809","0.3467","0.2127","0.1477","0.0120"
"92",2010,"1.3","2","Status","Admit","Alyssa O'Rourke","(Alyssa O'Rourke) 2010 Admit - 92 applicants","0","6.673913043","9.288043478","1426.630435","0","0","92","0","9","26","25","28","0","4","47","45","57","6","2","1","19","54","25","7","6","29","36","10","15","2","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.0978","0.2826","0.2717","0.3043","0.0000","0.0435","2.0000","0.5109","0.4891","0.6196","0.0652","0.0217","0.0109","0.2065","3.0000","0.5870","0.2717","0.0761","0.0652","4.0000","0.3152","0.3913","0.1087","0.1630","0.0217"
"75",2013,"1.3","2","Status","Admit","Alyssa O'Rourke","(Alyssa O'Rourke) 2013 Admit - 75 applicants","-0.184782609","5.586666667","7.666666667","1461.066667","0","0","75","0","6","31","17","17","1","3","41","34","31","1","3","1","22","51","9","13","2","18","23","16","16","2","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.0800","0.4133","0.2267","0.2267","0.0133","0.0400","2.0000","0.5467","0.4533","0.4133","0.0133","0.0400","0.0133","0.2933","3.0000","0.6800","0.1200","0.1733","0.0267","4.0000","0.2400","0.3067","0.2133","0.2133","0.0267"
"35",2014,"1.3","2","Status","Admit","Alyssa O'Rourke","(Alyssa O'Rourke) 2014 Admit - 35 applicants","-0.533333333","5.785714286","7.571428571","1449.428571","0","0","35","0","5","13","10","7","0","0","15","20","16","0","1","1","13","21","7","5","2","8","15","4","7","1","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.1429","0.3714","0.2857","0.2000","0.0000","0.0000","2.0000","0.4286","0.5714","0.4571","0.0000","0.0286","0.0286","0.3714","3.0000","0.6000","0.2000","0.1429","0.0571","4.0000","0.2286","0.4286","0.1143","0.2000","0.0286"
"242",2016,"1.3","2","Status","Admit","Alyssa O'Rourke","(Alyssa O'Rourke) 2016 Admit - 242 applicants","5.914285714","5.216942149","7.425619835","1459.173554","0","0","242","0","16","52","68","84","7","15","112","130","155","22","16","7","36","126","75","29","12","69","73","43","52","5","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.0661","0.2149","0.2810","0.3471","0.0289","0.0620","2.0000","0.4628","0.5372","0.6405","0.0909","0.0661","0.0289","0.1488","3.0000","0.5207","0.3099","0.1198","0.0496","4.0000","0.2851","0.3017","0.1777","0.2149","0.0207"
"73",2010,"1.3","3","Status","Admit and Cancel","Alyssa O'Rourke","(Alyssa O'Rourke) 2010 Admit and Cancel - 73 applicants","0","6.047945205","9.410958904","1431.643836","0","0","0","73","8","17","20","27","0","1","41","32","49","2","3","1","9","33","25","14","1","28","23","3","18","1","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.1096","0.2329","0.2740","0.3699","0.0000","0.0137","2.0000","0.5616","0.4384","0.6712","0.0274","0.0411","0.0137","0.1233","3.0000","0.4521","0.3425","0.1918","0.0137","4.0000","0.3836","0.3151","0.0411","0.2466","0.0137"
"78",2013,"1.3","3","Status","Admit and Cancel","Alyssa O'Rourke","(Alyssa O'Rourke) 2013 Admit and Cancel - 78 applicants","0.068493151","5.596153846","6.980769231","1467.692308","0","0","0","78","4","24","19","26","2","3","40","38","46","4","5","1","7","34","18","24","2","23","29","13","11","2","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0513","0.3077","0.2436","0.3333","0.0256","0.0385","2.0000","0.5128","0.4872","0.5897","0.0513","0.0641","0.0128","0.0897","3.0000","0.4359","0.2308","0.3077","0.0256","4.0000","0.2949","0.3718","0.1667","0.1410","0.0256"
"108",2014,"1.3","3","Status","Admit and Cancel","Alyssa O'Rourke","(Alyssa O'Rourke) 2014 Admit and Cancel - 108 applicants","0.384615385","5.342592593","7.430555556","1463.333333","0","0","0","108","6","20","29","46","2","5","51","57","62","10","2","1","18","57","27","22","2","30","39","15","22","2","0.0000","0.0000","0.0000","0.0000","1.0000","1.0000","0.0556","0.1852","0.2685","0.4259","0.0185","0.0463","2.0000","0.4722","0.5278","0.5741","0.0926","0.0185","0.0093","0.1667","3.0000","0.5278","0.2500","0.2037","0.0185","4.0000","0.2778","0.3611","0.1389","0.2037","0.0185"
